17-29,,30-39,,40-49,,60-69,,70-84,,50-59,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2022/10/28,88.80246315997816,2022/03/25,60.718205423556746,2022/10/20,85.126266570352,2022/12/01,76.3719958610726,2022/11/22,67.5942094062982,2022/11/06,82.13671289956407
2022/11/11,89.17384554884018,2022/03/30,62.28820210460553,2022/11/03,85.60940825052225,,,2022/12/03,68.49315222272115,2022/11/21,82.64978371036433
2022/11/26,89.38933528937629,2022/04/02,64.1993908748365,2022/11/18,85.75228046884553,,,,,2022/12/03,82.75972745553581
2022/12/05,89.02313804584358,2022/04/09,65.65736709552722,2022/12/01,85.97956746256418,,,,,,
,,2022/04/16,67.53862673512818,,,,,,,,
,,2022/04/23,69.206961988247,,,,,,,,
,,2022/04/30,70.34341383416958,,,,,,,,
,,2022/05/08,71.57944806018838,,,,,,,,
,,2022/05/16,72.83180726655083,,,,,,,,
,,2022/05/23,74.48063028125893,,,,,,,,
,,2022/05/31,75.53942186354674,,,,,,,,
,,2022/06/08,76.30273130161457,,,,,,,,
,,2022/06/15,77.07863429594751,,,,,,,,
,,2022/06/23,77.7316335096933,,,,,,,,
,,2022/06/30,78.68851057183576,,,,,,,,
,,2022/07/08,79.47140998631599,,,,,,,,
,,2022/07/16,80.08149782315847,,,,,,,,
,,2022/07/23,81.07428984205697,,,,,,,,
,,2022/07/30,81.84389605825736,,,,,,,,
,,2022/08/07,82.50785633023386,,,,,,,,
,,2022/08/14,82.8226952368613,,,,,,,,
,,2022/08/22,83.41389273930615,,,,,,,,
,,2022/08/30,84.11003654396013,,,,,,,,
,,2022/09/06,84.81457605279084,,,,,,,,
,,2022/09/14,85.30642438914437,,,,,,,,
,,2022/09/21,85.72271138790731,,,,,,,,
,,2022/09/29,86.01306282401927,,,,,,,,
,,2022/10/06,86.10401628593385,,,,,,,,
,,2022/10/14,86.21595900829028,,,,,,,,
,,2022/10/21,86.57977285594865,,,,,,,,
,,2022/10/29,87.13109076355401,,,,,,,,
,,2022/11/06,87.39835401317997,,,,,,,,
,,2022/11/13,87.3913575930327,,,,,,,,
,,2022/11/21,87.5662680967146,,,,,,,,
,,2022/11/28,87.60824661759825,,,,,,,,
,,2022/12/05,87.58900646219324,,,,,,,,
